entity	title	definition	example_technologies
TX01.3.6	Ramjet/Scramjet	A ramjet/scramjet is an adaptation of traditional ramjet and scramjet airbreathing propulsion systems and accelerates an Earth-to-orbit launch system in the atmosphere.	Ramjet, scramjet
TX01.3.7	Reciprocating Internal Combustion	In the reciprocating internal combustion technology area, multicylinder engines, each containing a piston, turn a crankshaft to drive a propeller.	Air-cooled four- and six-cylinder piston engines
TX01.3.8	All-Electric Propulsion	All-electric systems use electrical energy storage as the only power source.	Permanent magnet synchronous motor, distributed electronic propulsion
TX01.3.9	Hybrid Electric Systems	Hybrid electric systems use a turbine-driven generator combined with electrical energy storage as the power source.	Series/parallel partial hybrid
TX01.3.10	Turboelectric Propulsion	Turboelectric systems use a turbine-driven generator as the power source. Partial turboelectric systems split the thrust between a turbo fan and motor-driven fans.	Partial turboelectric
TX01.3.11	Engine Icing	Engine icing technologies reduce or prevent ice formation on aircraft engines.	Electro-Expulsive Deicing, pneumatic deicing, thermal anti-icing systems, fluid based deicing approaches, electro-impulsive approaches
TX01.3.12	Alternative Low-Carbon Jet Fuel	Alternative jet fuels have lower carbon emissions than do conventional petroleum-based fuels over the fuel life cycle.	Biojet fuels, hydrogen based fuels
TX01.4	Advanced Propulsion	Advanced propulsion includes propellant-less and emerging technologies and physics concepts.	
TX01.4.1	Solar Sails	Sail propulsion uses lightweight structures with large surface areas to produce thrust by reflection of solar photons (photon sail) or by electrostatic repulsion of solar particles (electronic or E-sail).	Solar sail
TX01.4.2	Electromagnetic Tethers	Electromagnetic tethers are long, lightweight cables that produce thrust through the Lorentz force by carrying electrical current and interacting with a planetary magnetosphere.	Electromagnetic Tethers
TX01.4.3	Nuclear Thermal Propulsion	Nuclear thermal propulsion (NTP) engines use a fission reactor (solid, liquid, or gas) in the thrust chamber to heat a large mass of flowing propellant to extremely high temperatures for a high specific impulse at high thrust.	Solid state NTP, gas and liquid ore NTP
TX01.4.4	Solar Thermal Propulsion	Solar thermal propulsion (STP) engines use solar concentration to heat the thrust chamber and flowing propellant to extremely high temperatures for high specific impulse at high thrust.	Beamed energy, fusion propulsion, high energy-density materials, antimatter propulsion, advanced fission, breakthrough propulsion
TX01.4.5	Nuclear Electric Propulsion	Nuclear electric propulsion (NEP) systems rely on a fission-reactor-based closed-cycle in-space powerplant to directly power electric propulsion devices to produce highly efficient thrust.	In-space Fission-Based Brayton Cycle Powering Electric Thruster Arrays
TX01.4.6	Advanced Energetic Propulsion Approaches	Advanced highly energetic propulsion technologies and system concepts combine low-system-specific mass (<5 kg/kW), high thrust, and high specific impulse to yield transformative in-space transportation capabilities for fast solar system–wide access and penetration of the interstellar domain.	Directed Energy Propulsion (e.g.; Direct & Indirect Drive DEP); Advanced Thermal Fission (e.g., liquid and gas core configurations); Compact Fusion Propulsion; Highly Energetic Nuclear Processes & Concepts (e.g., antimatter propulsion); Breakthrough Propulsion Research
TX01.4.7	Drag Sails	Drag sails harness atmospheric molecules, inducing a greater amount of atmospheric drag and accelerating orbital decay.	
TX01.X	Other Propulsion Systems	This section covers propulsion system technologies that are not otherwise covered in the subparagraphs outlined in TX01 of the 2024 NASA Technology Taxonomy.	
TX02	Flight Computing and Avionics		
TX02.1	Avionics Component Technologies	Component technologies constitute the electronic parts used in building avionics subsystems.	
TX02.1.1	Radiation-Hardened Extreme-Environment Components and Implementations	Radiation-hardened (rad-hard) components are technologies tolerant to radiation and/or extreme temperatures. These technologies allow for miniaturization and increased ruggedness of spacecraft electronics in order to enhance flexibility in vehicle configuration and design. This area also includes technologies for fabricating electronic components for space environments, rad-hard-by-design implementation techniques, and implementations developed to deal with extreme-temperature environments that obviate the need for thermal management systems.	Radiation mitigation techniques; Rad-hard/tolerant Graphical Processor Unit (GPU) & Display elements; Rad-hard/tolerant data processing devices; Rad-hard/tolerant general purpose flight processor; Rad-hard/tolerant high-capacity memory; Two-dimensional (High-capacity Memory; 2D nanomaterials based electronics; components with on-chip thermal control capability; Advanced passive technologies (e.g. super capacitors); Highly reliable connectors and cabling; Network transceivers and physical-layer devices
TX02.1.2	Electronic Packaging and Implementations	Advanced electronic packaging and implementations are novel methods, materials, and designs for packaging and integrating electronic circuits at the component, board, and box levels. These technologies improve mass, volume, and power of atmospheric and space vehicle avionics and support analog and digital electronics' tolerance to both radiation and extreme temperatures.	Stacked or 2.5D/3D chips/packages/modules, high density interconnect technologies, chip-on-board technologies, additively manufactured electronic packaging, solderless interconnects and interposers, system-in-package, advanced passive device technologies (e.g. 3D passive arrays); Heterogeneous integration (HI)
TX02.1.3	High-Performance Processors	High-performance processors provide advanced data-processing functions at high speeds in order to deliver powerful and reliable computing resources capable of executing computationally expensive algorithms in a short period. This area includes energy-efficient computations, single event effect (SEE) immune data systems, processing modules, resources that support real-time operating systems, data-processing architectures, and scalable and multicore computing architectures.	Scalable, multi-core processors; Low-power processors; Neuromorphic processors; Rad-hard/tolerant processors; Fault-tolerant processors; Digital signal processors (DSPs); GPUs; Compute-In-Memory (CIM) processors
TX02.1.4	High-Performance Memories	High-performance rad-hard memories use more-advanced memory technologies (volatile and nonvolatile) to provide increased memory bandwidth and improved power use at orders of magnitude increases in density.	Rad-hard high-density on-board memory; Rad-hard/tolerant high-capacity memory, Double Data Rate (DDR3/4/5) volatile and non-volatile memory; Magnetoresistive Random-Access Memory (MRAM)
TX02.1.5	High-Performance Field-Programmable Gate Arrays	Field-programmable gate array (FPGA) technologies optimize aerospace application performance through implementing one-time programmable devices or reprogrammable devices. This area includes embedded processors, signal processing, high-speed interfaces, and other elements implemented in FPGA fabrics.	Rad-hard/tolerant FPGAs, techniques for FPGA radiation hardening, FPGA hard/soft cores
TX02.1.6	Radiation-Hardened ASIC Technologies	This area encompasses various application-specific integrated circuits (ASICs) and technologies that are rad-hard or tolerant for space/aero applications. One example is structured ASICs that offer a design approach between ASICs and FPGAs, potentially providing high performance and low cost.	Rad-hard/tolerant structured ASICs, system-on-a-chip (SoC) devices, intellectual property (IP) cores, complex digital logic systems, rad-hard/tolerant housekeeping ASICs, network interface ASICs; Read-Out Integrated Circuits (ROICs) and Radiation tolerant processes, cell libraries, and development tools
TX02.1.7	Point-of-Load Power Converters	Miniature, highly efficient point-of-load (POL) convertors help eliminate the mass and complexity of traditional DC-DC power convertor slices. Developing fault-tolerant, rad-hard point-of-load converters would reduce the mass and complexity of avionics assemblies.	Fault-tolerant point-of-load converters, rad-hard/tolerant point-of-load converters, multi-output point-of-load converters, digitally controlled point-of-load converters
TX02.1.8	Wireless Avionics Technologies	Wireless avionics technologies interface with wireless networks, such as Wi-Fi and Bluetooth, or use radio frequency identification (RFID) technologies, potentially reducing overall system mass and permitting easier reconfiguration by physically moving the sensor and/or changing the controlling software characteristics.	RFID-based sensors, Wi-Fi based sensors, utilization of wireless access points for data aggregation, wireless wearable sensors for monitoring astronauts; Embedded wireless transceivers
TX02.2	Avionics Systems and Subsystems	Avionics systems and subsystems are the building blocks for vehicles and spacecraft that implement key functionality for command and data handling, data acquisitions, and other essential functions for NASA missions.	
TX02.2.1	Spacecraft Command and Data Handling Systems	Spacecraft command and data handling (C&DH) systems are the core integrated avionics systems for managing the spacecraft. These systems include but are not limited to the integration of command and telemetry processing, real-time control systems that use sensor inputs for state determination, network management, and data storage systems required to control spacecraft and meet mission requirements.	General purpose or specialized processing systems; Data recorders and storage systems; health management systems; Vehicle flight controls; Hazard avoidance systems; Crew input, audio, and display systems; Spacecraft high reliability fault-tolerant avionics architectures; Real-time control systems; Interoperable cards for C&DH systems
TX02.2.2	Aircraft Avionics Systems	Aircraft avionics systems are the electronic systems used to control an aircraft directly, cooperatively, or autonomously. They provide a means for crew input control and feedback through displays and instruments. Aircraft avionics include but are not limited to the integration of real-time control system that use sensor inputs for state determination, network management, and data storage systems required to control and operate an aircraft safely and effectively.	Aircraft control systems, autopilots, flight deck management system, terrain awareness/warning systems, collision avoidance systems, health management systems, general purpose or specialized processing systems, crew input and display systems, aircraft hi-rel fault-tolerant architectures
TX02.2.3	Vision and Virtual/Augmented Reality Avionics	This area covers vision systems combined with advanced displays and pilot/crew input devices to provide effective situational awareness and enable interactive data management of modern aircraft and spacecraft through both traditional and virtual/augmented reality system approaches.	External visions systems for safe take-off/landing, integrated data and real-time imaging into head-up displays, augmented reality interactive guidance systems, augmented reality systems to manage information improve crew efficiency
TX02.2.4	Low-Power Embedded Computer Systems	Low-power embedded computers are designed to have low size, weight, and power to implement specific aerospace applications. These processing systems could be embedded in subsystems and instruments.	Rad-hard/tolerant embedded computers or microcontroller systems, real-time processor boards/systems, instrument or peripheral embedded processing system, power saving implementations and techniques
TX02.2.5	High-Speed Onboard Interconnects and Networks	High-speed onboard networks support future onboard processing needs for increased numbers and performance of processing elements and for memory devices with increased capacity and performance.	Digital high speed interconnects/fabrics; Multi-gigabit Ethernet with support for deterministic traffic; Fiber optic network waveguide; Rad-hard/tolerant network switches and routers; PCI Express; Wireless data networks
TX02.2.6	Data Acquisition Systems	Data acquisition systems collect and deliver data in an environment with an increasing selection of heterogeneous instruments and sensors that generate larger volumes of data at higher rates.	Structural health monitoring and thermal health monitoring (SHM/ THM) system integration; High analog-bandwidth/sampling rate; Multiplexed analog to digital converters (ADCs); Advanced standards for data acquisition interfaces and data storage; Sensor data concentrators, sensor signal conditioning
TX02.2.7	Data Reduction Hardware Systems	This area covers data reduction hardware systems used to reduce and/or manage large volumes of data.	Data duplication hardware, near real-time video loss less compression, lossy video compression, radio frequency (RF) compression, real-time data compression
TX02.2.8	Advanced Commercial-off-the-Shelf Technologies	Commercial-off-the-shelf (COTS) technologies offer performance; availability; and potential size, weight, and power (SWaP) advantages. These advantages may come at the cost of unknown radiation and reliability performance; a lack of guaranteed process, traceability, and configuration control; and shorter product life cycles. Successful use of advanced COTS technologies results from the availability of and attention to guidelines, best practices, lessons learned, risk mitigation techniques, and other information sharing to ensure the components meet the requirements for the mission, environment, applications, and lifetime.	Uses of advanced commercial microcircuits, semiconductors and passives; Guidelines of using prediction-error minimization (PEM) with Cu wire bonds, nano connectors, composite connectors; Implementation of commercial processors, FPGAs, memories; Analog to digital converter/digital to analog converters (ADC/DACs); Power management; Radiation Single Event Effect (SEE) mitigation approaches; Resilient architecture approaches
TX02.2.9	Hardware-Enabling Secure Avionics	This area covers subsystems and/or devices needed to support the elements of secure operations.	Secure boot loaders, encryption/decryption devices, specialized secure hardware
TX02.3	Avionics Tools, Models, and Analyses	This area covers tools, models, analyses, databases, design techniques, and design processes for avionics evaluation, development, and support.	
TX02.3.1	Electronics Development Tools	This area covers advanced digital design tools that will enable complex systems to be implemented quickly and cost effectively and have the fault tolerance to operate reliably in the space environment. As technology scales to smaller fabrication processes, higher clock speeds, and greater miniaturization, design tools will need to adapt.	Automated hardware development toolsets, electronic design automation tools, additive manufactured electronics development tools, high-level design synthesis tools, printed circuit board (PCB) design tools, cable design tools, techniques for circuit design correctness and validation
TX02.3.2	Space Radiation Analysis and Modeling	Space radiation analysis and modeling tools include models of radiation environments, radiation transport codes for estimating particle fluxes/doses for sensitive components, SEE rate estimation packages, databases of historical radiation test data, and physics-based codes to simulate device radiation response and other tools and techniques needed to ensure correct operation in mission environments.	IRENE, ESP and PSYCHIC environment models; CRÈME-96 and CRÈME-MC SEE rate estimation software packages; MULASSIS, Monte Carlo N-Particle/ Monte Carlo N-Particle eXtended (MCNP/MCNPX), NOVICE transport codes; DAVINCI, SPICE part and circuit simulation routines, model-based system engineering and mission assurance approaches
TX02.3.3	Avionics Performance, Reliability, and Fault-Tolerance Analysis and Modeling	This area covers analysis and modeling of the performance, reliability, and fault tolerance of avionics system hardware. Analysis tools are needed to estimate the performance of avionics systems when various design options are being considered. Reliability and fault tolerance are key properties of aerospace avionics systems that become increasingly important and difficult to understand and implement as avionics systems become more complex and use new components and technologies. This area also includes analysis and modeling of these properties of avionics system hardware.	Fault tolerance modeling and coverage estimation; fault injectors; reliability estimation; Failure Mode and Effects Analysis/Failure Mode, Effects, Criticality Analysis (FMEA/FMECA) generators and coverage estimation tools; Single Event Effect (SEE) modeling and estimation tools for complex devices and systems.
TX02.3.4	Electromagnetic Environment Effects	The discipline known as electromagnetic environmental effects (E3) encompasses various forms and sources of electromagnetic interference and its control, including nuclear electromagnetic pulse (EMP); lightning EMP; electrostatic charge accumulation and discharge, triboelectrification (a.k.a. p-static), and plasma vehicle charging; hazards of electromagnetic radiation to personnel (HERP), hazards of electromagnetic radiation to fuel (HERF), and hazards of electromagnetic radiation to ordnance (HERO); switching of transients in hardware and on platforms; line-replaceable-unit-level conducted and radiated electric and magnetic field emissions and susceptibility; transmission line applications; signal and power integrity; electrical bonding; electrical referencing (a.k.a. grounding); electromagnetic shielding and cable shielding; and other related areas as they pertain to avionics, electrical power, and multiple other discipline areas and systems.	E3 2D and 3D modeling capability, including Finite Difference Time Domain (FDTD) and integral electromagnetic solvers, with aerodynamic and thermal environment interfaces; E3 analysis tools, including SPICE and Signal and Power integrity software (e.g., SISOFT, XILINX, Hyperlynx); electromagnetic interference/electromagnetic pulse/electrostatic discharge (EMI/EMP/ESD) transient filtering and protection circuitry and techniques
TX02.X	Other Flight Computing and Avionics	This area covers flight computing and avionics technologies that are not otherwise covered in the subparagraphs outlined in TX02 of the 2024 NASA Technology Taxonomy.	
TX03	Aerospace Power and Energy Storage		
TX03.1	Power Generation and Energy Conversion	Power generation and conversion identifies the methods of generating power from chemical, solar, and nuclear sources. This area also addresses energy conversion technology.	
TX03.1.1	Photovoltaic Electrical Power	Photovoltaic electrical power generation converts photons into electrical power. This area includes photovoltaic cells, cell integration, and mechanical and structural technologies for cell arrays.	25 – 150 kW-class solar arrays, reliably retractable solar arrays, reduced-cost photovoltaic blankets, extreme environment solar cells and panels
TX03.1.2	Heat Sources	Thermal energy source technology captures nuclear or solar irradiation for electrical power generation or process heat.	Conventional radioisotope, fission, or solar-thermal heat sources linked with novel aspects of heat collection such as heat pipes, heat pumps, etc.
TX03.1.3	Static Energy Conversion	Static energy conversion generates electrical power through converting heat by using nonmechanical processes.	Enhanced multi-mission radioisotope thermoelectric generators, thermionic generators
TX03.1.4	Dynamic Energy Conversion	Dynamic energy conversion generates electrical power or mechanical work through converting heat by using mechanical heat engines.	Advanced Stirling radioisotope generator; 1-10 kWe Stirling fission power system; Brayton and Rankine cycle generators with solar, fission, or chemical energy sources
TX03.1.5	Electrical Machines	Electrical machines include motors, generators, and other devices that exchange electrical energy and mechanical work.	High-efficiency, high-power motors/generators for electric aircraft, wind turbines, shape memory alloy and piezoelectric motors and actuators
TX03.1.6	Other Advanced Concepts for Generating and Converting Power	This area covers advanced concepts for generating and converting power.	Electrodynamic tether energy harvesting, nuclear fusion heat sources, nuclear thermionic avalanche cells, alpha/beta voltaics, thermophotovoltaics
TX03.2	Energy Storage	Energy storage includes methods of storing energy after it has been generated from solar, chemical, or nuclear sources.	
TX03.2.1	Electrochemical Storage: Batteries	Batteries store and convert chemical energy to electricity.	High-specific-energy, human-rated advanced secondary chemistries beyond lithium-ion, nanoelectronics, super/ultracapacitors, extreme environment energy storage, flow batteries
TX03.2.2	Electrochemical Storage: Fuel Cells	Fuel cells store and convert chemical energy to electricity.	Regenerative fuel cells, hydrogen /oxygen based regenerative fuel cells, solid oxide fuel cells and fuel reformation or electrolysis
TX03.2.3	Advanced Concepts for Energy Storage	Advanced concepts for energy storage include solutions that could be transformational for aerospace applications, including electromechanical systems (e.g., flywheels) and solar-chemical systems based on in situ resources.	Flywheel technologies including broad temperature range applications, advanced high-strength flywheel materials, superconducting bearing, solar energy stored as high-energy-density chemical fuels, superconducting magnetic energy storage, other non-chemical storage devices
TX03.3	Power Management and Distribution	Power management and distribution technologies manage and control electric power generated from a source.	
TX03.3.1	Management and Control	Management and control includes the control algorithms, models, and sensors needed to control a spacecraft, rover, probes, aircraft power bus, or other vehicles, including fault detection, isolation, and recovery.	Autonomous fault detection, isolation, and recovery (FDIR) algorithms and technologies for complex power systems, hierarchical and distributed control of a power system, power source and energy storage control, real-time power system simulation
TX03.3.2	Distribution and Transmission	Distribution and transmission includes the switchgear, wiring, and other components necessary for wired or wireless electric power transmission, as well as the fault protection aspects of the distribution system.	High-conductivity carbon nanotube wire, high-voltage power distribution, modular switchgear development, and all forms of wireless power transmission (magnetic, radio frequency, and optical)
TX03.3.3	Electrical Power Conversion and Regulation	Electrical power conversion and regulation focuses on converting electrical power from one form to another. This area includes power regulators, power converter topologies and architectures, and modular standards for conversion.	Modular power converters, electrical propulsion power processing units (power electronics related to electric propulsion), high voltage power topologies for instrument power supplies
TX03.3.4	Advanced Electronic Parts	Advanced electronic parts include high-power and harsh-environment parts, components, and subsystems.	High-voltage semiconductors and passive components, extreme radiation-hardened power distribution
TX03.X	Other Aerospace Power and Energy Storage	This area covers aerospace power and energy storage technologies that are not otherwise covered in the subparagraphs outlined in TX03 of the 2024 NASA Technology Taxonomy.	
TX04	Robotic Systems		
TX04.1	Sensing and Perception	Sensing and perception provides situational awareness for exploration robots, human-assistive robots, and autonomous vehicles and improves drones and piloted aircraft navigation and flight.	
TX04.1.1	Sensing for Robotic Systems	Robotic sensing capabilities and situational awareness are needed for robotic operations that involve interacting with the environment. Additional sensing types increase the exploration range of surface and below-surface mobility systems, assist in detecting landing hazards in planetary exploration, and enable robotic manipulation in space without close human supervision.	Space-qualifiable force and torque sensors; space-qualifiable tactile sensors; three dimensional (3D) range imaging sensors for surface mobility, above-surface mobility, and manipulation; in-situ camera geometric calibration diagnostics and self-calibration
TX04.1.2	State Estimation	State estimation uses inputs from inertial sensors, vision systems, and other sensors to provide essential knowledge of the relative position, attitude, and motion of a vehicle near or on the surface of other bodies and knowledge of the internal state of the system (i.e., system health status).	Vision-based aiding of dead reckoning for navigation of surface vehicles, map-based position estimation for navigation of surface vehicles, vision-based aiding of dead reckoning for above-surface vehicles, map-based position estimation for navigation of above-surface vehicles, radio frequency (RF) navigation aiding for above-surface vehicles, altimeter for small above-surface vehicles, manipulator state estimation, manipulation object state estimation
TX04.1.3	Onboard Mapping and Data Analysis	Onboard mapping and analysis provides maps of natural terrain and human-made surfaces and structures, as well as surface and subsurface property maps that aid in robot navigation and manipulation of objects. Onboard mapping of complex 3D structures, such as lava tubes and human-made space structures, is needed for some advanced planetary characterization scenarios and for in-space robotic servicing.	Terrain mapping and classification, landmark mapping from image sequences and other navigation data, 3D modeling from multiple observations
TX04.1.4	Object, Event, and Activity Recognition	Object, event, and activity recognition of static objects, dynamic natural events, and dynamic human activities near a vehicle provides awareness of these items and enables onboard decisions about how to react to them. Natural objects that are important to recognize include landmarks that facilitate navigation; obstacles to rovers or landers; and objects that are important to science investigations, such as geologic targets and atmospheric phenomena.	Natural object recognition, human-made object recognition, event recognition
TX04.2	Mobility	Mobility provides coverage and access for space exploration and can be enhanced or expanded through advances in component technologies, such as actuation and structures.	
TX04.2.1	Below-Surface Mobility	Below-surface mobility offers access to traverse extreme terrain topographies; natural and human-made cavities and holes, including deep craters, gullies, canyons, and lava tubes; and soft, friable terrains in order to find the best samples for scientific analysis.	Subsurface access through natural cavities, subsurface access through human-made holes, burrowing mobility, long-endurance submerged mobility
TX04.2.2	Above-Surface Mobility	Above-surface mobility provides longer-range and greater coverage of planetary surfaces at a more rapid pace, independent of the terrain topography and in substantial gravity and extreme heat or cold environments.	Ballistic systems, static-lift systems, dynamic-lift systems, power-lift systems
TX04.2.3	Small-Body and Microgravity Mobility	Small-body and microgravity mobility provides surface coverage and in situ access to designated targets on small bodies with low gravity and provides in-space mobility inside and around the International Space Station (ISS) and other space assets. Major challenges include fine control of mobility platforms, power, communication, thermal cycling, and mobility in shadowed regions.	Free-floating robots, hopping/tumbling surface robots, anchoring robots, wheeled/tracked/hybrid robots
TX04.2.4	Surface Mobility	Surface mobility provides long-range exploration with large payload-mass fractions and modest energy budgets while increasing the traverse speed of both crewed and uncrewed planetary rovers.	Mobility subsystem for crewed surface transport, mobility system for uncrewed surface transport, rappelling mobility systems, climbing mobility systems, soft/friable terrain mobility systems
TX04.2.5	Robot Navigation and Path Planning	Robot navigation and path planning provides a highly reliable, well-characterized, and fast autonomous or semiautonomous mobility capability to navigate to designated targets on planetary surfaces (surface, below surface, and above surface).	Adaptive autonomous surface navigation, autonomous navigation for tethered systems, onboard real-time planning and scheduling, ground-based mixed initiative planning and scheduling, plan/sequence/schedule verification tools, onboard executives, state management, low-altitude above-surface navigation, below-surface navigation, small-body/microgravity navigation
TX04.2.6	Collaborative Mobility	Collaborative mobility provides the ability to distribute or collaborate on tasks using multiple mobile platforms or using a combination of platforms and crew. Collaborative mobility also provides cooperative mobility, including cooperation of surface and above-surface assets for both terrestrial and planetary science missions (e.g., mapping, seismic sounding, and atmospheric transmission spectroscopy), and can expedite engineering and construction of habitats.	Collaborative mobility algorithm; manipulation for collaborative mobility, including swarms
TX04.3	Manipulation	Manipulation positions crewmembers and instruments in space and on planetary bodies. It also provides the capability to extract and handle samples of multiple forms and scales from various depths.	
TX04.3.1	Dexterous Manipulation	Dexterous manipulation provides the capability for a robot to reliably handle, position, and control objects and interfaces on spacecraft, equipment, tools, flexible bags, and natural objects. Dexterous manipulation also allows robots to achieve compliant force and force resolution for safe operations in the vicinity of humans and in deep-space environments.	Dexterous manipulator arms; dexterous manipulator end effectors; robust, safe, and efficient manipulator control schemes
TX04.3.2	Grappling Technologies	Grappling technologies capture, hold, and manipulate natural and human-made free-flying objects. Grappling systems that can operate in deep-space environments enable orbiting sample caches to be captured for sample return missions. These systems increase vision and control system capabilities to handle larger structures for assembling on-orbit spacecraft for future human exploration missions to near-Earth asteroids (NEAs) and planetary bodies.	Robots that can grapple objects and free-flying spacecraft using surface features, then berth them to the robot's spacecraft through a rigidized interface; advanced ground control techniques; advanced vision and control systems for enhancing situational awareness and control of large objects
TX04.3.3	Contact Dynamics Modeling	Contact dynamics modeling provides an understanding of forces and torques generated on objects and platforms through mobility or manipulation. The results can be used to prevent harm to the contacting bodies and ensure that the contact characteristics support the mission.	End-to-end systems modeling, modeling of contact dynamics, dynamic simulation, granular media simulation
TX04.3.4	Sample Acquisition and Handling	Sample acquisition and appropriate handling includes the actions and means to extract or collect, move, transfer, or modify samples (regolith, cuttings, volatile samples) that have been acquired and to load them into instruments or packaging systems for analysis.	Robotic drilling, deep robotic drilling, surface/shallow robotic sample acquisition, subsurface robotic sample acquisition, sample handling, regolith/volatiles sample handling and transfer, robotic excavation, sterilization of drilling equipment at destination, biobarriers for drilling equipment to maintain sterile condition
